,label,email,label_num
893,ham,"Subject: nomination change
- - - - - - - - - - - - - - - - - - - - - - forwarded by ami chokshi / corp / enron on 06 / 05 / 2000
08 : 00 am - - - - - - - - - - - - - - - - - - - - - - - - - - -
"" jan svajian "" on 06 / 02 / 2000 04 : 30 : 44 pm
to :
cc :
subject : nomination change
on monday june 5 th thru june 8 th , the quinduno field connected to the oneok
stinnett plant will be shut in by oneok for maintenance . the production
should be back on the afternoon of june 8 th and our nomination should be in
place for the 9 th . sorry about the short notice but i just confirmed with
oneok that this was going to happen .
- 0600 rl . xls",0
671,ham,"Subject: march business - meter 6490 - help
no deal for march or april 2000 . . . . . . . . . . . . . . . . but i have flow . . . . . in
march a total of 3804 flowed ( delivery ) and for april it ' s averaging about
100 / day as a delivery . in february this was on the 213 contract , deal
# 83088 as a receipt at this delivery meter . do we have a deal at this city
gate to sell palacios this gas ?
thanks ! ! !
charlotte",0
3525,ham,"Subject: automate load of scheduled quantity sirpo 0067
i have attached a draft of the enhancement to automate the load of scheduled quantities . please review and provide your input by cob 10 / 10 / 01 . if you need to discuss this document , let know and i will make arrangements to meet with you . once we get your input , we will issue an updated document and meet with it to prioritize .
thanks ,
tammy",0
251,ham,"Subject: tech - support @ service . juno . com : problems retrieving mail
daren i guess i need help with this too ! love you
- - - - - - - - - begin forwarded message - - - - - - - - - -
from : tech - support @ service . juno . com
to :
subject : problems retrieving mail
date :
message - id :
dear juno member ,
you have received messages with attachments which have not yet been
downloaded to your computer . because the version of juno software you
are currently using is not capable of handling attachments , these
messages are still waiting for you on our server . these messages may
fill your mailbox to its maximum capacity , preventing your account from
receiving new mail .
in order to receive the attachments , you will need to upgrade your juno
software to version 4 . 0 . in addition to allowing you to retrieve all
your messages , this new version carries many enhancements which you will
find particularly useful when sending and receiving e - mail .
if you have access to the world wide web , you can download the latest
version of our software by visiting http : / / www . juno . com / upgrade . if you
are unable to download from the web , you can order a new cd - rom from us
by calling 800 - try - juno .
please be aware that your messages with file attachments will be kept on
juno ' s central computers until you download them . however , once your
mailbox has reached the maximum size limit for attachments , we will be
unable to accept new incoming mail for you . this may cause you to miss
some of your e - mail , so we encourage you to install the latest version of
the juno software . your e - mail messages will be downloaded to you on
your first connection after your upgrade .
thank you for using juno . we appreciate your continued support .
best regards ,
technical support
juno online services , inc .
- - - - - - - - - end forwarded message - - - - - - - - - -
you ' re paying too much for the internet !
juno now offers free internet access !
try it today - there ' s no risk ! for your free software , visit :
http : / / dl . www . juno . com / get / tagj .",0
2035,ham,"Subject: enron / hpl actuals for november 13 , 2000
teco tap 120 . 000 / hpl gas daily
ls hpl lsk ic 30 . 000 / enron",0
344,ham,"Subject: re : nomination - 2 - 23 - 2000
we can ' t increase fuels cotton valley right now . please
assume nom of 60 , 000 mmbtu w / 53 , 000 going to pg & e
for 24 th .
- - - - - - - - - - - - - - - - - - - - - - forwarded by bruce mcmills / ftworth / pefs / pec on
02 / 23 / 2000
11 : 34 am - - - - - - - - - - - - - - - - - - - - - - - - - - -
daren . j . farmer @ enron . com on 02 / 23 / 2000 11 : 20 : 21 am
to : bruce mcmills / ftworth / pefs / pec @ pec
cc :
subject : re : nomination - 2 - 23 - 2000
bruce ,
i need to hold the deliveries to 60 , 000 for 2 / 24 . i ' m somewhat limited on
my transport right now . i will look into the possibility of increasing the
volume , though . if you can increase the deliveries at fuels cotton valley ,
that will work .
daren
"" bruce mcmills "" on 02 / 23 / 2000 09 : 11 : 07 am
to : dfarmer @ enron . com , briley @ enron . com , "" chad w . cass ""
, "" donna c . spencer ""
, "" william e . speckels ""
cc : "" michael r . cherry ""
subject : nomination - 2 - 23 - 2000
i meant 2 / 24 / 2000 as the effective date of this nom .
- - - - - - - - - - - - - - - - - - - - - - forwarded by bruce mcmills / ftworth / pefs / pec on
02 / 23 / 2000
09 : 09 am - - - - - - - - - - - - - - - - - - - - - - - - - - -
bruce mcmills
02 / 23 / 2000 08 : 55 am
to : dfarmer @ enron . com , briley @ enron . com , william e .
speckels / gcs / cec / pec @ pec ,
chad w . cass / gcs / cec / pec @ pec , donna c . spencer / gcs / cec / pec @ pec
cc : michael r . cherry / easttexas / pefs / pec @ pec , darrel f .
bane / easttexas / pefs / pec @ pec
subject : nomination - 2 - 23 - 2000
please incerease deliveries to eastrans to 65 , 000 mmbtu / d eff 2 / 23 / 2000 .
7 , 000 will come from fuels cotton valley .
maintain sale of 500 mmbtu / d .
increase pg & e nom to 58 , 000 mmbtu / d .
the agreement provides for up to 60 , 000 mmbtu at our option .
brian riley needs to approve the increase to 65 , 000 mmbtu / d .",0
398,ham,"Subject: 98 - 0432
can you please extend sitara deal # 156657 for 3 / 1 / 00 , if the deal will
allow ? it was transported on the 215 k , which was the only one out there for
2 / 00 .
it spilled over into march on day 1 for . 423 dec .
thanks
- jackie -
3 - 9497",0
1857,ham,"Subject: pops production downtime request
the pops production database server will be down over the weekend for a 3
hour period
for memory upgrade . please let me know if there is a preferred 3 hr window , if
there is
no problem with y ' all , can we will request the maintenance between 12 - 3 pm
saturday 10 / 21 / 00 .
i ' ll inform y ' all of the actual timeframe once its finalized , since there are
other systems
running on that server .
thanks
romeo
- - - - - - - - - - - - - - - - - - - - - - forwarded by romeo d ' souza / hou / ect on 10 / 19 / 2000 02 : 47
pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
from : neil leininger @ enron on 10 / 19 / 2000 02 : 01 pm
to : christine pham / hou / ect @ ect , romeo d ' souza / hou / ect @ ect
cc :
subject : downtime request
fyi
- - - - - - - - - - - - - - - - - - - - - - forwarded by neil leininger / na / enron on 10 / 19 / 2000
02 : 02 pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
malcolm . wells @ enron . com on 10 / 19 / 2000 01 : 54 : 49 pm
to : dba @ enron . com
cc :
subject : downtime request
the unix infrastructure team would like to request downtime on system
' aurora ' this weekend . the system has 2 faulty memory simms that we need
to replace before they cause a problem . we are requesting 3 hours to
perform the memory replacement . the following databases would be effected :
eqtprod
dcfprod
popprod
trdprod
semprod
sitprod 2
infprd 53
please let me know if / when we can have time for this maintenance .",0
1752,ham,"Subject: calpine daily gas nomination
>
ricky a . archer
fuel supply
700 louisiana , suite 2700
houston , texas 77002
713 - 830 - 8659 direct
713 - 830 - 8722 fax
- calpine daily gas nomination 1 . doc",0
3640,ham,"Subject: fw : auto - termination deal listing - part 3
more deals that will be moved to the bankruptcy book in tagg and zeroed out 12 / 01 forward in sitara .
logistics , as stated in earlier e - mails , call stacey richardson in contracts if any volumes have flowed after 11 / 30 on these deals . thanks .
- - - - - original message - - - - -
from : gossett , jeffrey c .
sent : thursday , december 13 , 2001 12 : 07 pm
to : palmer , b . scott
subject : fw : auto - termination deal listing - part 3
- - - - - original message - - - - -
from : richardson , stacey
sent : thursday , december 13 , 2001 10 : 45 am
to : gossett , jeffrey c .
cc : theriot , kim s . ; hodge , jeffrey t .
subject : auto - termination deal listing - part 3
jeff ,
here are more deals that need to be moved into the bankruptcy books as a result of our contracts auto - terminating . i hope to finish the list of auto - terminated deals today ( if no emergencies arise that pull me off this ) .
please let me know if you have any questions .
thanks for being so patient .
sbr x 30569",0
1628,ham,"Subject: hpl curtailment plan
enron north america corp .
from : tom shelton 09 / 15 / 2000 11 : 44 am
to : barbara n gray / hou / ect @ ect , steve hpl schneider / hou / ect @ ect , thomas a
martin / hou / ect @ ect , edward d gottlob / hou / ect @ ect , james mckay / hou / ect @ ect ,
jim schwieger / hou / ect @ ect , greg brazaitis / hou / ect @ ect , lee l
papayoti / hou / ect @ ect , jill t zivley / hou / ect @ ect , michael eiben / hou / ect @ ect ,
jim pond / corp / enron @ enron , jem @ ctw . com
cc : brian redmond / hou / ect @ ect
subject : hpl curtailment plan
we are going to be reviewing the hpl curtailment plan , with the ultimate
issue being how does hpl best structure its curtailment program to comply
with regulatory requirements and to best suit hpl  , s business purposes .
attached is a memo meant to provide a brief summary about what a curtailment
plan is and some of its ramifications . we  , ll be setting up a meeting soon
to discuss the issues surrounding the curtailment regulations and their
significance to hpl . certainly there will be critical legal , regulatory ,
commercial , operational , gas control , accounting , and even public relation
issues to be considered in this deliberation . whatever the decision may be
as to what to do , we must also determine how to find out relevant facts ,
establish the processes to be followed , and perform the necessary procedures
to implement our action plan .",0
241,ham,"Subject: increase into midcon
- - - - - - - - - - - - - - - - - - - - - - forwarded by ami chokshi / corp / enron on 02 / 03 / 2000
09 : 19 am - - - - - - - - - - - - - - - - - - - - - - - - - - -
troy _ a _ benoit @ reliantenergy . com on 02 / 03 / 2000 07 : 53 : 41 am
to : ami chokshi / corp / enron @ enron
cc :
subject : increase into midcon
( see attached file : hpl - feb . xls )
- hpl - feb . xls",0
1277,ham,"Subject: revised availabilities effective 8 / 01 / 00
devon says these will be finals for 8 / 1 .
beverly
- - - - - - - - - - - - - - - - - - - - - - forwarded by beverly beaty / hou / ect on 07 / 28 / 2000 07 : 59
am - - - - - - - - - - - - - - - - - - - - - - - - - - -
enron capital & trade resources corp .
from : "" steve holmes ""
07 / 27 / 2000 05 : 20 pm
to :
cc :
subject : revised availabilities effective 8 / 01 / 00
beverly ,
the attached should be the final revision for august . there is a change on
the mid - continent tab ( small increase ) as well as the main tab . please let
me know of any questions you have .
thanks ,
steve
- enronavailso 800 revl . xls",0
303,ham,"Subject: new noms
- - - - - - - - - - - - - - - - - - - - - - forwarded by ami chokshi / corp / enron on 02 / 14 / 2000
11 : 09 am - - - - - - - - - - - - - - - - - - - - - - - - - - -
royal _ b _ edmondson @ reliantenergy . com on 02 / 14 / 2000 09 : 51 : 52 am
to : ami _ chokshi @ enron . com
cc :
subject : new noms
( see attached file : hpl - feb . xls )
- hpl - feb . xls",0
3388,ham,"Subject: fw : epgt
daren - can you please let me know the status on this for 02 / 2000 ? thanks , gloria
- - - - - original message - - - - -
from : barkowsky , gloria g .
sent : friday , june 29 , 2001 4 : 47 pm
to : farmer , daren j .
cc : garcia , clarissa
subject : re : epgt
daren - what about february 2000 ? it doesn ' t look like it ' s been pathed for hpl and chan .
please let me know . thanks , gloria
- - - - - original message - - - - -
from : farmer , daren j .
sent : monday , june 25 , 2001 5 : 16 pm
to : barkowsky , gloria g .
subject : re : epgt
deal 871172 has been pathed from the texas side .
d
- - - - - original message - - - - -
from : barkowsky , gloria g .
sent : friday , june 22 , 2001 4 : 50 pm
to : garcia , clarissa ; farmer , daren j . ; dinari , sabra l .
subject : epgt
clarissa - thanks so much for all your help with this pipe ! everything looks great . i just have a couple of paths
that i need to finish it :
january 2000 - i need deal # 854688 pathed for epgt and for tetc . according to the invoice , we should have
11 , 129 dth on the interconnect .
february 2000 - i need deal # 871184 pathed for hpl and chan . hpl should have 3 , 600 dth and chan should
have 11 , 500 dth on the interconnect .
july 2000 - deal # 871172 has an interconnect issue . according to mops contract # 105124 , they received 8 , 275 dth
on the matagorda 624 , but according to epgt , they delivered 10 , 362 dth to hpl ( ? ) could this possibly
need to be split somehow , or do you have any other ideas ?
let me know . thanks , gloria 3 - 7118",0
3647,ham,"Subject: bankruptcy management committee
in an effort to better organize the activities and minimize the expenses related to the chapter 11 filing , we have formed the bankruptcy management committee . there are many outside firms representing multiple parties that will be requesting , among other things , certain tasks to be performed , filings with the bankruptcy court , financial analysis and general business information . to ensure these activities are coordinated , the bankruptcy management committee will now be responsible for overseeing this process . the following is a list of some of the parties that may contact you directly . if anyone from these firms , or other firms , contacts you related to the bankruptcy , please notify a member of the committee to ensure the efforts are coordinated . all outside firms will be requested to notify a member of the committee prior to contacting other enron personnel or outside parties , including the court and creditors ' committee .
firm relationship
bankruptcy court ( i . e . motions , etc . )
creditors ' committee
u . s . trustee
ernst & young accountants for the creditor ' s committee
houlihan , lokey , howard & zukin financial advisors for the creditors ' committee
blackstone financial advisors for enron
batchelder and partners financial advisors for enron
weil , gotshal and manges bankruptcy attorneys for enron
milbank tweed attorneys for the creditors ' committee
andrews and kurth attorneys for enron corp
the following are the members of the bankruptcy management committee :
ray bowen - chairman
bob butts
jim fallon
dave glassford
dave gorte
mark muller
julia murray
lou stoler
initially , this committee will meet on a daily basis to organize all the bankruptcy related activities as well as to prioritize requests going to the creditors ' committee and the court . it is extremely important that the company provides accurate and timely information to the court , the creditors ' committee and their advisors . accordingly , we request the assistance of all employees and outside firms in coordinating the bankruptcy efforts with this newly formed committee .",0
2186,ham,"Subject: re : tenaska iv 10 / 00
i don ' t see anything in path manager . mark is out today . do you have a new
deal number for the purchase ?",0
1243,ham,"Subject: july 25 , 2000
- - - - - forwarded by chad w . cass / gcs / cec / pec on 07 / 24 / 00 11 : 27 am - - - - -
| - - - - - - - - + - - - - - - - - - - - - - - - - - - - - - - - >
| | sharon beemer |
| | |
| | 07 / 24 / 00 |
| | 10 : 39 am |
| | |
| - - - - - - - - + - - - - - - - - - - - - - - - - - - - - - - - >
| |
| to : chad w .
cass / gcs / cec / pec @ pec |
|
cc : |
| subject : july 25 ,
2000 |
sent on behalf of bruce mcmills ( 713 ) 627 - 6467
60 k off hpl @ eastrans effective july 25 , 2000
redelivered @
mobil beaumont 12200
fcv 7800
hpl cw 25000
tenn sabine 15000
thanks",0
1326,ham,"Subject: hpl nom for august 3 , 2000
( see attached file : hplo 803 . xls )
- hplo 803 . xls",0
3224,ham,"Subject: calpine for 5 / 12 thru 5 / 14 ( 1465 )
ricky sent me the nom early - 87 , 000 for the weekend .
my new number 713 - 571 - 3258
thanks - julie",0
135,ham,"Subject: hl & p for 12 / 99
hl & p was short on the following days :
december
4 th ( 2256 )
9 th ( 7214 )
11 th ( 2527 )
12 th ( 3537 )
15 th ( 7058 )
16 th ( 4776 )
17 th ( 4465 )
28 th ( 264 )
how do you want to handle this ? ?
- - - - - - - - - - - - - - - - - - - - - - forwarded by kimberly vaughn / hou / ect on 01 / 12 / 2000
01 : 07 pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
anita luong
01 / 12 / 2000 10 : 46 am
to : kimberly vaughn / hou / ect @ ect
cc : howard b camp / hou / ect @ ect
subject : hl & p for 12 / 99
for days 4 , 9 , 11 , 12 , 15 , 16 , 17 and 28 , we are short at the aggregate
meter . should the reliant transport and sales or do we charge reliant a
penalty ?
also , i notice that at meter 1554 we have 3 rd party transport this month .
this look strange because i ' ve not seen them here before .
please advice .
thanks",0
287,ham,"Subject: mips january actuals
fyi - not sure of the affect on p & l .
- - - - - - - - - - - - - - - - - - - - - - forwarded by brenda f herod / hou / ect on 02 / 10 / 2000
01 : 45 pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
george grant
02 / 10 / 2000 01 : 23 pm
to : brenda f herod / hou / ect @ ect
cc :
subject : mips january actuals
fyi
- - - - - - - - - - - - - - - - - - - - - - forwarded by george grant / hou / ect on 02 / 10 / 2000 01 : 22
pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
romeo d ' souza
02 / 10 / 2000 11 : 09 am
to : george grant / hou / ect @ ect
cc : dave nommensen / hou / ect @ ect , michael eiben / hou / ect @ ect
subject : mips january actuals
george ,
there seems to be a problem with mips while trying to actualize
the january 2000 data ( y 2 k related ) . in order to actualize jan
pops has to manually load the actual files into pops , the
side effect of this is that some of the feb data may be loaded
with numbers that are old . this will be rectified as we complete
loading the jan actuals and then load the most recent mips
measured prelim numbers for feb .
pops is currently processing the mips files in the order they
were received , we should be done with this today . please inform
us of any abnormalities that you see tommorrow .
thanks
romeo",0
2126,ham,"Subject: second revision to my spreadsheet - changes to previous one are
noted as rev 2
revisions to devon # ' s .
beverly
- - - - - - - - - - - - - - - - - - - - - - forwarded by beverly beaty / hou / ect on 11 / 29 / 2000 09 : 57
am - - - - - - - - - - - - - - - - - - - - - - - - - - -
enron capital & trade resources corp .
from : "" victor haley ""
11 / 29 / 2000 10 : 54 am
to :
cc :
subject : second revision to my spreadsheet - changes to previous one are noted
as rev 2
second revision to my spreadsheet - changes to previous one are noted as rev
2
- enronavailsl 200 pools . xls",0
3413,ham,"Subject: united salt quote
daren / dave -
sorry i didn ' t get this out yesterday . give me a call if you have any
questions .
- unitedsalt 8022 . xls",0
1142,ham,"Subject: revision # 1 - enron / hpl actuals for july 5 , 2000
teco tap 10 . 000 / enron ; 85 . 000 / hpl iferc",0
2699,ham,"Subject: registration welcome email
thank you for registering at citibank account online . you now have
free access , 24 hours a day , to your citibank account information .
sign - on at https : / / www . accountonline . com / cb / login . dcl to view your
statements , monitor your unbilled activity and enroll in one of our
electronic payment options . while you ' re there , check out these
great features :
all - electronic - enroll today and make your paper statement a
thing of the past . view it online instead . then , pay your bill
online with click - to - pay or autopay .
express request - manage your citibank account information from
your computer . change your address , request a credit line
increase , order a replacement card and more .
citibank bill manager - receive and pay all of your bills online .
secure messaging - have a question ? use our secure message pad to
correspond safely with our customer care center .
the citibank toolbar - download this free software * and enjoy one
click access to account online and other password protected
websites . plus , the citibank toolbar will fill online shopping
forms with just one click !
once again , thanks for registering . we hope you visit account online
at https : / / www . accountonline . com / cb / login . dcl again soon .
* at point of download see terms and conditions governing use
of software .
for your records , we have listed your user id and email address
below .
user id : colioquake
email address : dfarmer @ enron . com
to learn about citibank privacy , read our privacy promise at
this message is for information purposes only . please do not reply to
us at this email address - - it is unattended , and we will not respond .
use the secure message center in help / contact us at account online .",0
